age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,subscription
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,0,nonexistent,1.1,93.994,4.857,5191,no
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,0,nonexistent,1.1,93.994,4.857,5191,no
37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,0,nonexistent,1.1,93.994,4.857,5191,no
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,0,nonexistent,1.1,93.994,4.857,5191,no
56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,0,nonexistent,1.1,93.994,4.857,5191,no
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,0,nonexistent,1.1,93.994,4.857,5191,no
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,0,nonexistent,1.1,93.994,4.857,5191,no
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,0,nonexistent,1.1,93.994,4.857,5191,no
24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,0,nonexistent,1.1,93.994,4.857,5191,no
25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,0,nonexistent,1.1,93.994,4.857,5191,no
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,0,nonexistent,1.1,93.994,4.857,5191,no
25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,0,nonexistent,1.1,93.994,4.857,5191,no
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,0,nonexistent,1.1,93.994,4.857,5191,no
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,0,nonexistent,1.1,93.994,4.857,5191,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,0,nonexistent,1.1,93.994,4.857,5191,no
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,0,nonexistent,1.1,93.994,4.857,5191,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,0,nonexistent,1.1,93.994,4.857,5191,no
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,0,nonexistent,1.1,93.994,4.857,5191,no
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,0,nonexistent,1.1,93.994,4.857,5191,no
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,0,nonexistent,1.1,93.994,4.857,5191,no
30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,0,nonexistent,1.1,93.994,4.857,5191,no
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,0,nonexistent,1.1,93.994,4.857,5191,no
55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,0,nonexistent,1.1,93.994,4.857,5191,no
41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,0,nonexistent,1.1,93.994,4.857,5191,no
37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,0,nonexistent,1.1,93.994,4.857,5191,no
35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,0,nonexistent,1.1,93.994,4.857,5191,no
59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,0,nonexistent,1.1,93.994,4.857,5191,no
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,0,nonexistent,1.1,93.994,4.857,5191,no
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,0,nonexistent,1.1,93.994,4.857,5191,no
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,0,nonexistent,1.1,93.994,4.857,5191,no
46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,0,nonexistent,1.1,93.994,4.857,5191,no
59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,0,nonexistent,1.1,93.994,4.857,5191,no
49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,0,nonexistent,1.1,93.994,4.857,5191,no
54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,0,nonexistent,1.1,93.994,4.857,5191,no
54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,0,nonexistent,1.1,93.994,4.857,5191,no
55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,0,nonexistent,1.1,93.994,4.857,5191,no
34,services,married,high.school,no,no,no,telephone,may,mon,365,1,0,nonexistent,1.1,93.994,4.857,5191,no
52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,0,nonexistent,1.1,93.994,4.857,5191,no
41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,0,nonexistent,1.1,93.994,4.857,5191,no
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,0,nonexistent,1.1,93.994,4.857,5191,no
58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,0,nonexistent,1.1,93.994,4.857,5191,no
32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,0,nonexistent,1.1,93.994,4.857,5191,no
38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,0,nonexistent,1.1,93.994,4.857,5191,no
57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,0,nonexistent,1.1,93.994,4.857,5191,no
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,0,nonexistent,1.1,93.994,4.857,5191,no
42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,0,nonexistent,1.1,93.994,4.857,5191,no
57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,0,nonexistent,1.1,93.994,4.857,5191,no
40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,0,nonexistent,1.1,93.994,4.857,5191,no
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,0,nonexistent,1.1,93.994,4.857,5191,no
45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,0,nonexistent,1.1,93.994,4.857,5191,no
